County,CountyDrinking,Population,BirthDefectCases,BDPrevalence,GDPcap,FIPS,FIPS State,OverdoseRate,Area,PopDensity,Age,BelowPoverty,SmokingRate,Chlamydia,TeenBirth,AirPollution,HousingProblem,Obesity,Diabetes,HigherBD,AfricanA,White
Comanche,0.17,"13,594",69,0.0457,49333,48093,48,10.96538,938,15,43.9,22.5,16,312.7,47,8.4,16,29,13,0.0579,0.5,69.5
Concho,0.2,"3,303",,,49380,48095,48,7.73047,984,3,43.2,19.1,15,196,43,7.5,6,31,9,,1.1,59.8
Cooke,0.19,"41,668",249,0.0464,49467,48097,48,19.73312,875,52,40.3,21,15,321.2,44,9.8,14,29,11,0.0521,3.1,75.3
Coryell,0.21,"83,093",633,0.0652,49585,48099,48,7.61297,"1,052",82,33.2,19.8,17,532.4,34,9.5,12,34,10,0.0703,16.2,58.5
Cottle,0.15,"1,380",,,49691,48101,48,10.03115,901,1,47.1,35.3,16,701.3,51,7.2,6,28,12,,9.1,65
Crane,0.2,"4,675",38,0.0524,49814,48103,48,12.83255,785,6,33.4,26.1,13,336.8,53,7.1,16,31,10,0.0719,2.7,32
Crockett,0.17,"3,098",27,0.0576,49822,48105,48,11.61498,"2,807",1,40.6,18.4,14,512.1,71,7.3,12,28,10,0.0838,0.6,31.7
Crosby,0.16,"5,133",55,0.075,49825,48107,48,10.46442,900,5,38.5,33.1,16,401.5,59,7.6,16,29,10,0.0977,3,39.5
Culberson,0.14,"2,188",16,0.0525,49855,48109,48,11.95848,"3,812",1,39.2,34.3,18,402.5,76,5.9,16,30,11,0.0852,0.9,21.9
Dallam,0.2,"7,115",71,0.0451,49945,48111,48,9.67453,"1,503",5,30.1,34.2,16,519.6,74,6,14,32,9,0.0569,1.5,49.1
Dallas,0.17,"2,613,539","28,174",0.0734,50112,48113,48,15.43916,873,"2,996",34.3,24,15,478.4,42,10,22,29,9,0.0742,22.5,29.2
Dawson,0.18,"12,456",91,0.0498,50131,48115,48,12.48878,900,13,33.7,33.8,16,303.3,70,7.3,8,30,10,0.0611,5.3,35.3
Deaf Smith,0.18,"18,583",176,0.0534,50236,48117,48,8.50813,"1,497",12,31.3,27.3,15,437.9,82,7,15,29,9,0.0613,0.9,24.7
Delta,0.17,"5,230",38,0.0589,50247,48119,48,16.07032,257,22,41.2,34.8,17,306.7,45,9.8,17,32,12,0.0809,6.2,81
Denton,0.21,"906,422","5,877",0.059,50251,48121,48,9.69098,879,"1,215",37.2,22.4,14,289.3,16,10.9,14,24,8,0.0605,9.8,59.3
DeWitt,0.17,"19,824",138,0.0557,50269,48123,48,9.19185,909,22,41.7,11.6,15,610.7,51,9.6,13,29,12,0.065,8.6,54.7
Dickens,0.17,"1,770",,,50287,48125,48,9.21036,902,2,49.2,27.2,16,,63,7.1,11,28,10,,4.8,62.8
Dimmit,0.15,"8,615",71,0.0448,50426,48127,48,8.88536,"1,329",6,34.3,60.4,16,919.9,61,8.1,20,29,10,0.0565,1.1,10.5
Donley,0.18,"3,258",19,0.0565,50483,48129,48,11.82443,927,3,43.7,20,15,343,37,7,12,28,12,0.0883,5,80.9
Duval,0.15,"9,831",106,0.0683,50538,48131,48,12.28725,"1,793",5,35.9,34.7,17,1545.5,63,8.5,21,27,10,0.0813,1,8.7
Eastland,0.18,"17,725",99,0.0484,50541,48133,48,8.68372,927,20,42,26.3,16,231.1,37,8.3,11,31,11,0.059,1.8,79.1
Ector,0.2,"165,171","1,929",0.0663,50764,48135,48,17.81546,898,191,31.5,24.2,15,594,70,7.8,16,33,8,0.0692,4.3,32.6
Edwards,0.16,"1,422",15,0.0711,51080,48137,48,6.97267,"2,118",1,48.9,28.5,13,264,54,7.3,12,30,12,0.1173,0.4,43.1
El Paso,0.18,"192,455","7,043",0.0564,51132,48139,48,9.29124,"1,013",864,36.2,30.7,13,362.4,30,10.5,14,35,11,0.0577,10.3,60.8
Ellis,0.18,"865,657","1,664",0.0755,51236,48141,48,12.47215,936,261,33.8,14.5,15,364.8,48,9.5,19,30,10,0.0791,3,11.8
Erath,0.21,"42,545",292,0.0615,51458,48143,48,11.10551,"1,083",41,32.6,25.5,17,603.1,20,8.8,22,27,9,0.0685,1.7,74.6
Falls,0.16,"16,968",147,0.0736,51829,48145,48,10.82465,765,23,39.6,32.5,18,525,59,10,14,32,12,0.0855,23.3,51.2
Fannin,0.19,"35,662",203,0.0591,51898,48147,48,14.06883,891,43,40.7,24.8,16,240.4,36,10,15,31,11,0.0672,6.5,79
Fayette,0.17,"24,435",124,0.052,51936,48149,48,9.64136,950,28,47.1,14.7,13,386.3,27,9.6,12,27,13,0.0612,6,71
Fisher,0.17,"3,672",20,0.0541,51982,48151,48,8.80725,899,4,44.9,16.6,14,444.2,44,7.6,10,28,12,0.0835,3.4,66.2
Floyd,0.15,"5,402",40,0.0544,52054,48153,48,8.99617,992,5,38.7,30.2,17,338.9,53,7.3,16,29,11,0.0741,3.2,36.2
Foard,0.17,"1,095",,,52196,48155,48,15.20166,704,2,47.2,36.1,13,,,7.5,4,29,12,,4.7,75.4
Fort Bend,0.18,"822,779","5,262",0.0573,52297,48157,48,7.0565,862,"1,128",37.7,12.9,12,384.6,13,11.7,14,29,9,0.0589,20.2,33.2
Franklin,0.17,"10,359",49,0.0444,52359,48159,48,10.44827,284,38,43.9,16.5,16,525.8,31,9.9,13,31,12,0.0587,3.7,78.9
Freestone,0.18,"19,435",141,0.0666,52570,48161,48,10.39718,878,24,42.2,23.3,16,314.9,41,10,12,30,12,0.0776,15.6,67
Frio,0.18,"18,385",124,0.0506,52596,48163,48,6.21477,"1,134",16,31.5,31.9,17,537.4,68,8.7,22,28,8,0.0595,3,14.8
Gaines,0.21,"21,598",164,0.0382,52599,48165,48,10.25586,"1,502",16,28,14.8,16,189.5,52,7.4,12,31,8,0.044,1.6,55
Galveston,0.19,"350,682","3,277",0.0819,52669,48167,48,22.0556,379,977,39,18,15,484.1,29,10.3,16,32,11,0.0847,12.7,57.3
Garza,0.22,"5,816",31,0.0539,52791,48169,48,9.38297,893,5,37.3,28.3,16,389.7,53,7.1,8,28,8,0.0765,6.3,40.1
Gillespie,0.16,"26,725",114,0.0454,52798,48171,48,9.84367,"1,058",27,50.5,14.5,13,481.5,33,8.4,18,27,14,0.0538,0.4,74.6
Glasscock,0.21,"1,116",,,52854,48173,48,10.85659,900,1,36.5,13.1,14,,,7.2,7,28,10,,1.6,60.5
Goliad,0.17,"7,012",36,0.0514,52905,48175,48,11.66642,852,8,46.5,20.6,14,770.2,29,9.3,10,31,12,0.0712,4,57.8
Gonzales,0.17,"19,653",157,0.0538,53090,48177,48,12.01323,"1,067",19,37.8,27.4,15,204.2,57,9.7,20,29,11,0.0622,6,41.4
Gray,0.19,"21,227",152,0.0514,53205,48179,48,14.84651,926,22,37.7,26.9,17,361.9,65,7.1,14,32,11,0.0595,4.8,63.2
Grayson,0.18,"135,543",871,0.0549,53348,48181,48,16.03742,933,165,39.1,20,16,396.9,42,10.2,15,31,11,0.0586,5.9,75.6
Gregg,0.19,"124,239",881,0.05,53429,48183,48,10.94787,273,467,36,26.1,16,838.8,55,10.2,18,31,11,0.0533,20.2,57.4
Grimes,0.18,"29,268",172,0.0523,53508,48185,48,14.64914,787,44,40.1,23.5,17,439.8,38,10.2,17,31,12,0.0601,15.3,58.3
Guadalupe,0.21,"172,706","1,074",0.0591,53538,48187,48,10.15598,711,281,38.3,15.6,14,206.3,26,10.4,13,32,11,0.0626,7.5,50.4
Hale,0.17,"32,522",264,0.0583,53588,48189,48,8.94979,"1,005",31,34.6,32.7,17,535.5,55,7.6,15,31,9,0.0653,4.8,33.9
Hall,0.14,"2,825",,,53610,48191,48,10.35194,883,3,44.1,31.8,19,318.7,44,7,11,29,12,,8,56.2
Hamilton,0.17,"8,222",51,0.0594,53630,48193,48,13.7532,836,11,45,25.8,14,196.1,35,8.6,15,28,12,0.0781,0.6,84.6
Hansford,0.17,"5,285",34,0.0452,53657,48195,48,12.0248,920,5,34.5,24.2,16,231.7,45,7.1,13,30,10,0.0631,0.7,50.7
Hardeman,0.17,"3,549",25,0.063,53843,48197,48,13.33625,695,5,42.6,24.5,17,260.4,44,7.6,8,30,11,0.093,5.1,68.8
Hardin,0.2,"56,231",350,0.0504,53941,48199,48,20.78385,891,66,39.2,20.2,15,225.5,42,9.6,12,30,10,0.0557,5.5,86.6
Harris,0.18,"4,731,145","41,220",0.0605,54065,48201,48,15.19638,"1,707","2,896",34.8,25.6,13,613.6,38,12,20,27,10,0.0611,18.6,29.7
Harrison,0.19,"68,839",370,0.0461,54067,48203,48,12.32007,900,81,38.5,25.3,16,528.9,41,10,12,35,13,0.0508,20.7,63.3
Hartley,0.22,"5,382",26,0.0402,54313,48205,48,8.81966,"1,462",3,39.4,13.6,13,,34,5.9,11,29,10,0.059,6.5,64.7
Haskell,0.18,"5,416",26,0.0562,54394,48207,48,10.8849,903,6,42.3,27,16,313.8,33,7.8,11,28,11,0.0823,3.8,64.1
Hays,0.22,"241,067","1,243",0.0498,54702,48209,48,10.09306,677,448,34.4,19.8,15,659.9,19,10.3,22,28,9,0.0526,3.7,53.8
Hemphill,0.19,"3,382",18,0.0352,54953,48211,48,10.96855,906,3,39.2,7.7,15,117.3,53,6.9,9,28,10,0.0556,0.3,63.8
Henderson,0.17,"82,150",544,0.0599,54995,48213,48,18.4123,874,102,43.4,25.8,17,313,43,10.4,14,33,11,0.065,6.2,78.1
Hidalgo,0.14,"870,781","9,484",0.0639,55085,48215,48,4.11292,"1,571",585,30.8,41.2,15,434.3,57,9.4,27,30,10,0.0652,0.4,6.2
Hill,0.18,"35,874",230,0.0568,55098,48217,48,15.4792,959,41,41.1,23.5,17,275.4,39,10.1,16,29,12,0.0641,6.5,70.3
Hockley,0.18,"21,537",165,0.0544,55185,48219,48,10.15669,908,24,35.9,25.1,15,456.6,45,7.5,12,31,10,0.0627,3.6,46.6
Hood,0.19,"61,598",416,0.0689,55211,48221,48,16.86325,421,168,45.8,14.1,14,263.4,33,9.6,12,28,12,0.0756,0.8,83.9
Hopkins,0.18,"36,787",298,0.0658,55278,48223,48,12.05922,767,51,39.3,22.9,17,485.9,43,10.1,15,31,12,0.0733,7.1,73.3
Houston,0.16,"22,066",112,0.0501,55403,48225,48,12.67993,"1,231",18,43.6,30,18,298.4,40,9.8,17,28,11,0.0593,25.1,61.8
Howard,0.2,"34,860",297,0.0663,55417,48227,48,15.1006,901,34,37.2,23.9,16,491.9,67,7.5,13,37,11,0.0738,6.2,48.6
Hudspeth,0.15,"3,202",20,0.05,55463,48229,48,9.63983,"4,571",1,34.7,38.4,20,266.4,60,6.1,19,30,11,0.0772,2,17.6
Hunt,0.19,"99,956",775,0.067,55487,48231,48,14.93748,840,147,36.5,22.4,16,496.4,35,10.4,18,32,11,0.0717,7.9,71.7
Hutchinson,0.19,"20,617",155,0.0559,55707,48233,48,18.57752,887,22,39.2,19.2,16,395.7,53,7.1,11,31,11,0.0647,2.5,70.2
Irion,0.19,"1,513",,,55714,48235,48,13.41002,"1,052",2,42.2,14.6,13,,,7.3,13,29,11,,1.1,70.4
